query_id,database,sf,iteration,mode,latency_ms,status
q11,duckdb,1,2,hot,17,OK
q11,duckdb,1,3,hot,15,OK
q12,duckdb,1,0,cold,47,OK
q12,duckdb,1,1,hot,35,OK
q12,duckdb,1,2,hot,35,OK
q12,duckdb,1,3,hot,35,OK
q13,duckdb,1,0,cold,69,OK
q13,duckdb,1,1,hot,53,OK
q13,duckdb,1,2,hot,57,OK
q13,duckdb,1,3,hot,51,OK
q14,duckdb,1,0,cold,60,OK
q14,duckdb,1,1,hot,39,OK
q14,duckdb,1,2,hot,35,OK
q14,duckdb,1,3,hot,37,OK
q15,duckdb,1,0,cold,42,OK
q15,duckdb,1,1,hot,27,OK
q15,duckdb,1,2,hot,31,OK
q15,duckdb,1,3,hot,28,OK
q16,duckdb,1,0,cold,42,OK
q16,duckdb,1,1,hot,29,OK
q16,duckdb,1,2,hot,28,OK
q16,duckdb,1,3,hot,29,OK
q17,duckdb,1,0,cold,54,OK
q17,duckdb,1,1,hot,35,OK
q17,duckdb,1,2,hot,37,OK
q17,duckdb,1,3,hot,37,OK
q18,duckdb,1,0,cold,76,OK
q18,duckdb,1,1,hot,65,OK
q18,duckdb,1,2,hot,71,OK
q18,duckdb,1,3,hot,66,OK
q19,duckdb,1,0,cold,73,OK
q19,duckdb,1,1,hot,59,OK
q19,duckdb,1,2,hot,52,OK
q19,duckdb,1,3,hot,54,OK
q20,duckdb,1,0,cold,52,OK
q20,duckdb,1,1,hot,40,OK
q20,duckdb,1,2,hot,39,OK
q20,duckdb,1,3,hot,39,OK
q21,duckdb,1,0,cold,86,OK
q21,duckdb,1,1,hot,70,OK
q21,duckdb,1,2,hot,69,OK
q21,duckdb,1,3,hot,75,OK
q22,duckdb,1,0,cold,49,OK
q22,duckdb,1,1,hot,31,OK
q22,duckdb,1,2,hot,32,OK
q22,duckdb,1,3,hot,31,OK
q01,postgres,1,0,cold,1116,OK
q01,postgres,1,1,hot,1027,OK
q01,postgres,1,2,hot,1080,OK
q01,postgres,1,3,hot,1022,OK
q02,postgres,1,0,cold,209,OK
q02,postgres,1,1,hot,163,OK
q02,postgres,1,2,hot,149,OK
q02,postgres,1,3,hot,149,OK
q03,postgres,1,0,cold,382,OK
q03,postgres,1,1,hot,253,OK
q03,postgres,1,2,hot,250,OK
q03,postgres,1,3,hot,235,OK
q04,postgres,1,0,cold,165,OK
q04,postgres,1,1,hot,124,OK
q04,postgres,1,2,hot,119,OK
q04,postgres,1,3,hot,125,OK
q05,postgres,1,0,cold,185,OK
q05,postgres,1,1,hot,146,OK
q05,postgres,1,2,hot,146,OK
q05,postgres,1,3,hot,149,OK
q06,postgres,1,0,cold,266,OK
q06,postgres,1,1,hot,199,OK
q06,postgres,1,2,hot,200,OK
q06,postgres,1,3,hot,199,OK
q07,postgres,1,0,cold,232,OK
q07,postgres,1,1,hot,185,OK
q07,postgres,1,2,hot,185,OK
q07,postgres,1,3,hot,184,OK
q08,postgres,1,0,cold,409,OK
q08,postgres,1,1,hot,377,OK
q08,postgres,1,2,hot,374,OK
q08,postgres,1,3,hot,366,OK
q09,postgres,1,0,cold,869,OK
q09,postgres,1,1,hot,755,OK
q09,postgres,1,2,hot,801,OK
q09,postgres,1,3,hot,798,OK
q10,postgres,1,0,cold,418,OK
q10,postgres,1,1,hot,351,OK
q10,postgres,1,2,hot,354,OK
q10,postgres,1,3,hot,353,OK
q11,postgres,1,0,cold,156,OK
q11,postgres,1,1,hot,115,OK
q11,postgres,1,2,hot,113,OK
q11,postgres,1,3,hot,110,OK
q12,postgres,1,0,cold,406,OK
q12,postgres,1,1,hot,327,OK
q12,postgres,1,2,hot,330,OK
q12,postgres,1,3,hot,341,OK
q13,postgres,1,0,cold,455,OK
q13,postgres,1,1,hot,387,OK
q13,postgres,1,2,hot,380,OK
q13,postgres,1,3,hot,389,OK
q14,postgres,1,0,cold,284,OK
q14,postgres,1,1,hot,202,OK
q14,postgres,1,2,hot,202,OK
q14,postgres,1,3,hot,202,OK
q15,postgres,1,0,cold,288,OK
q15,postgres,1,1,hot,218,OK
q15,postgres,1,2,hot,219,OK
q15,postgres,1,3,hot,220,OK
q16,postgres,1,0,cold,223,OK
q16,postgres,1,1,hot,178,OK
q16,postgres,1,2,hot,186,OK
q16,postgres,1,3,hot,176,OK
q17,postgres,1,0,cold,300102,TIMEOUT
q17,postgres,1,1,hot,300098,TIMEOUT
q17,postgres,1,2,hot,300098,TIMEOUT
q17,postgres,1,3,hot,300098,TIMEOUT
q18,postgres,1,0,cold,1452,OK
